author,url,text,section,title,sub_title,date
247 - ,https://www.brasil247.com/pt/247/economia/389034/Com-pressa-para-privatizar-Petrobr%C3%A1s-quer-mudar-estatuto.htm,"
,A Petrobrás quer alterar o seu estatuto para transferir a decisão sobre a venda das subsidiárias da estatal da assembleia de acionistas para o conselho de administração da empresa. A medida, que será votada no próximo dia 25, permite, na prática, uma redução no tempo necessário para que seja tomada uma decisão em relação ao chamado plano de desinvestimentos da petroleira, ou seja, a entrega do patrimônio à inciativa privada. A Petrobrás espera obter cerca de US$ 26,9 bilhões por meio do seu plano de desinvestimentos até 2023.,""Isso agiliza, desburocratiza, reduz custo. Convocar uma assembleia para [deliberar sobre] um assunto custa caro no Brasil. E não há exigência em lei [para submeter venda de subsidiárias integrais à assembleia]. Várias empresas fazem isso. Empresas grandes, como Vale, Embraer e Ambev adotam isso"", disse o presidente da Petrobrás, Roberto Castello Branco, ao jornal ,. A alteração no estatuto seria específica para as subsidiárias da Petrobrás e reduziria o prazo para a conclusão do processo de venda em até 30 dias.,Segundo o executivo, não haveriam prejuízos para os acionistas, já que todos são representados pelo conselho de administração, incluindo os minoritários, e ""todos nossos processos de desinvestimentos são acompanhados pelo TCU [Tribunal de Contas da União] e pela Sest [Secretaria de Coordenação e Governança das Empresas Estatais do Ministério da Economia].,Ainda segundo Castello Branco, caso a privatização da Transportadora Associada de Gás (TAG), ocorra até o dia 24 de abril, véspera da assembleia de acionistas que vai discutir a mudança no estatuto, uma nova assembleia extraordinária deverá ser convocada para tratar do assunto. Caso isso ocorra após esta data e se a mudança for aprovada no dia 25, esta etapa não será necessária., ",economia,"
Com pressa para privatizar, Petrobrás quer mudar estatuto
","A Petrobrás quer alterar o seu estatuto para transferir a decisão sobre a venda das subsidiárias da estatal da assembleia de acionistas para o conselho de administração da empresa; medida, que será votada no próximo dia 25, permite, na prática, uma redução no tempo necessário para que seja tomada uma decisão em relação ao chamado plano de desinvestimentos da petroleira, ou seja, a entrega do patrimônio à inciativa privada; alteração no estatuto reduziria o prazo para a conclusão do processo de venda em até 30 dias",03/04/2019 08:05:00
247,https://www.brasil247.com/pt/247/economia/388926/Desemprego-explode-mas-a-culpa-%C3%A9-do-IBGE-diz-Jair-Bolsonaro.htm,"
, - O presidente Jair Bolsonaro voltou a criticar a metodologia empregada pelo Instituto Brasileiro de Geografia e Estatística, o IBGE, para medir a taxa de desemprego no País. Segundo dados divulgados pelo órgão, o índice aumentou para 12,4% no trimestre encerrado em fevereiro, atingindo 13,1 milhões de pessoas. O percentual era de 11,6% no trimestre anterior. De acordo com o instituto, a alta representa a entrada de 892 mil pessoas na população desocupada.,""Com todo respeito ao IBGE, essa metodologia, em que pese ser aplicada em outros países, não é a mais correta. (...) Tenho dito aqui, fui muito criticado, volto a repetir, não interessam as críticas. Tem de falar a verdade"", afirmou o chefe do Planalto à Record nesta segunda-feira (1).,""Como é feita hoje em dia a taxa? Leva-se em conta quem está procurando emprego. Quem não procura emprego, não está desempregado. (...) Então, quando há uma pequena melhora, essas pessoas que não estavam procurando emprego, procuram, e, quando procuram e não acham, aumenta a taxa de desemprego. É uma coisa que não mede a realidade. Parecem índices que são feitos para enganar a população"", acrescentou.,De acordo com o presidente, ""é fácil ter a metodologia precisa no tocante à taxa de desemprego. É você ver dados bancários, dados junto à Secretaria de Trabalho, quantos empregos geramos a mais ou a menos no mês"".,Em outubro do ano passado, depois de eleito presidente, Bolsonaro disse à TV Bandeirantes que pretendia mudar a metodologia da entidade para calcular a taxa de desemprego porque os beneficiários do Bolsa Família são contabilizados como empregados.,Em nota, o IBGE afirmou na época que o levantamento segue padrões internacionais. O instituto também negou que beneficiários do Bolsa Família não são considerados empregados.",economia,"
Desemprego explode, mas a culpa é do IBGE, diz Jair Bolsonaro
","Após o IBGE divulgar uma explosão no desemprego, que atinge agora 13,1 milhões de pessoas (no trimestre encerrado em fevereiro), o presidente Jair Bolsonaro voltou a culpar o IBGE. Para ele, a questão não é a economia, mas a metodologia empregada pela instituição para medir a taxa; quase um milhão de pessoas somaram-se ao exército da população desocupada; mesmo reconhecendo que a metodologia do IBGE é utilizada internacionalmente, Bolsonaro acusou o instituto: ""Parecem índices que são feitos para enganar a população""",02/04/2019 09:29:00
Reuters,https://www.brasil247.com/pt/247/economia/388975/Bolsonaro-segue-cartilha-dos-EUA-e-fala-em-reduzir-impostos-para-empresas.htm,"
, - A equipe econômica chefiada pelo ministro da Economia, Paulo Guedes, está estudando reduzir os impostos sobre as empresas, disse nesta terça-feira o presidente Jair Bolsonaro durante visita a Israel, e citou que após o presidente dos Estados Unidos, Donald Trump, tomar medida semelhante a economia daquele país ganhou grande impulso.,Bolsonaro disse a jornalistas que acompanham sua visita oficial que um dos objetivos de seu governo é desburocratizar a vida das empresas para fazer com que o Brasil suba no ranking de melhores países para se fazer negócios.,No fim de semana, o presidente já havia levantado a ideia de reduzir os impostos sobre as empresas em uma publicação no Twitter.,Também na semana passada, Guedes disse que o governo estuda tributar lucros e dividendos como forma de compensar a redução dos impostos sobre as empresas.,Por Eduardo Simões, em São Paulo",economia,"
Bolsonaro segue cartilha dos EUA e fala em reduzir impostos para empresas
","A equipe econômica chefiada pelo ministro da Economia, Paulo Guedes, está estudando reduzir os impostos sobre as empresas, disse o presidente Jair Bolsonaro durante visita a Israel, e citou que após o presidente dos EUA, Donald Trump, tomar medida semelhante a economia daquele país ganhou grande impulso; na semana passada, Guedes disse que o governo estuda tributar lucros e dividendos como forma de compensar a redução dos impostos sobre as empresas",02/04/2019 15:05:00
Por Fernanda Cruz – Repórter da Agência Brasil,https://www.brasil247.com/pt/247/economia/389197/Produ%C3%A7%C3%A3o-de-ve%C3%ADculos-tem-queda-de-10-em-mar%C3%A7o-mostra-Anfavea.htm,"
,A produção de veículos montados no país foi de 240.546 unidades em março, queda de 10% na comparação com o mesmo mês do ano anterior, conforme divulgado hoje (4) pela Associação Nacional dos Fabricantes de Veículos Automotores (Anfavea). Em relação a fevereiro, houve redução de 6,4%.,O presidente da Anfavea, Antonio Carlos Botelho Megale, disse que três fatores influenciaram o resultado negativo em produção: a greve dos trabalhadores, a enchente na fábrica da Mercedes-Benz e a redução das exportações, Além disso, março também teve um dia útil a menos devido ao carnaval.,Megale defendeu a importância da manutenção dos bons índices de produção de veículos, responsável pela geração de emprego e renda. “Relatório do Banco Central para o biênio de 2017 e 2018 diz que as montadoras são responsáveis por um terço do crescimento industrial do Brasil, um quarto do crescimento total do [Produto Interno Bruto] PIB, o que mostra a relevância do setor. Queremos que os investimentos de produção fiquem no Brasil.”,O licenciamento de automóveis novos apresentou alta de 0,9% em março, na comparação com março de 2018. Na comparação com fevereiro, a alta foi de 5,3%. No acumulado desde o início do ano, na comparação com o mesmo período em 2018, houve alta de 11,4%. A média diária, de 11 mil unidades, foi a maior desde 2014 para um mês de março.,A exportação, no entanto, continua trazendo números pessimistas para o setor, devido à crise econômica da Argentina, principal importadora dos veículos brasileiros. Houve queda de 42,2% em março, na comparação com março de 2018. No acumulado a redução foi de 42%. Em relação a fevereiro, a retração foi de 3,7%. “Vamos ter um primeiro semestre absolutamente comprometido, mas esperamos que comece a melhorar [posteriormente]”, disse ele.,A Argentina continua predominante nas importações, respondendo por 60% da fatia do mercado. Outros países, entretanto, têm se destacado, como o México, que foi responsável por 13% das importações da produção brasileira. A Colômbia cresceu de 3% no ano passado para 10% este ano.,A comercialização de máquinas agrícolas mostrou resultado otimista, com alta de 7% em março, na comparação ao mesmo mês em 2018. Em relação a fevereiro, houve aumento de 31,6%. No acumulado, foi registrado alta de 23,5%. “A safra está muito boa, será a segunda melhor safra da história. Temos toda a safra de soja comercializada a preço muito bom com a China, o setor está capitalizado, com alto nível de confiança”, disse Megale.",economia,"
Produção de veículos tem queda de 10% em março, mostra Anfavea
","A produção de veículos montados no país foi de 240.546 unidades em março, queda de 10% na comparação com o mesmo mês do ano anterior, conforme divulgado pela Associação Nacional dos Fabricantes de Veículos Automotores (Anfavea); em relação a fevereiro, houve redução de 6,4%",04/04/2019 13:41:00
 -,https://www.brasil247.com/pt/247/economia/388999/Justi%C3%A7a-volta-a-decidir-contra-medida-que-tenta-inviabilizar-financiamento-sindical.htm,"
, O Tribunal Regional do Trabalho da 2ª Região (TRT-2), que inclui a Grande São Paulo e a Baixada Santista, deu mais uma decisão favorável a um sindicato de trabalhadores para desconto de contribuições em folha de pagamento, contrariando a Medida Provisória (MP) 873, que admite apenas a possibilidade de boleto bancário. Desta vez, a desembargadora Ivete Ribeiro manteve decisão de primeira instância, com liminar para o Sindicato dos Petroleiros (Sindipetro) do Litoral Paulista. A Petrobras havia entrado com mandado de segurança, negado pela Justiça.,Em meados de março, a Petrobras havia informado os sindicatos que seguiria a determinação da MP 873, permitindo apenas descontos via boleto e autorizados previamente. As entidades passaram a recorrer à Justiça para manter o desconto em folha e conseguiram várias liminares, assim como outras categorias profissionais. O Sindipetro do Litoral Paulista havia obtido liminar na 6ª Vara do Trabalho de Santos. A empresa recorreu, e agora a decisão foi ratificada em segunda instância.,Na semana passada, o vice-presidente judicial do TRT-2, desembargador Rafael Pugliese, havia decidido a favor do Sindicato dos Motoristas de São Paulo. Para ele, a medida provisória atingia o princípio da liberdade sindical.,Agora, a desembargadora Ivete Ribeiro afirmou que – além de propiciar aumento de demandas judiciais –, a medida provisória vai contra a Lei 13.467, de ""reforma"" trabalhista, que privilegia o negociado sobre o legislado. ""Entendo que, por ser a entidade sindical a titular do crédito, nada mais correto do que permitir a ela a escolha do meio de cobrança, seja por acordo com a empresa ou com o sindicato da categoria econômica, através da liberdade negocial instaurada no sistema jurídico"", afirmou em sua decisão.",economia,"
Justiça volta a decidir contra medida que tenta inviabilizar financiamento sindical
","Tribunal Regional do Trabalho da 2ª Região (TRT-2) deu mais uma decisão favorável a um sindicato de trabalhadores para desconto de contribuições em folha de pagamento, contrariando a Medida Provisória (MP) 873, que admite apenas a possibilidade de boleto bancário",02/04/2019 18:39:00
Sputinik –,https://www.brasil247.com/pt/247/economia/389143/Mercado-confirma-fim-da-lua-de-mel-e-pessimismo-com-bolsonarismo.htm,"
, Pela primeira vez no ano, economistas de instituições financeiras reduziram a estimativa de alta do PIB para – abaixo da marca de 2%. A queda na previsão de crescimento acompanha uma tendência observada nos últimos boletins Focus, realizados pelo Banco Central semanalmente. Especialistas explicam o que pode estar por trás do pessimismo.,Para o economista do Instituto Brasileiro de Economia da Fundação Getúlio Vargas (IBRE FVG), Marcel Balassiano, a piora no humor do mercado pode ser explicada pelos resultados macroeconômicos do último trimestre de 2018 e do primeiro em 2019, que trouxeram indicadores abaixo do esperado. Ele também acredita que a possibilidade de desidratação da reforma da previdência no Congresso tem impacto direto no pessimismo.,""Após o período eleitoral, os índices de confiança apresentaram tendência de alta e as variáveis do mercado financeiro ensaiaram trajetória de crescimento. A FGV pondera a situação atual e a expectativa para o futuro. Essa melhoria da confiança está ligada a expectativas e não a mudança de fato no cenário estabelecido. Só que os problemas do governo — como a briga entre o presidente e o Rodrigo Maia — levam a uma incerteza maior e a uma diminuição da confiança"", pondera o economista. No mês de março, o Índice de Confiança Empresarial (ICE) metrificado pela FGV caiu para o menor nível desde outubro de 2018.,Marcel ressalta que, até que a reforma seja aprovada, a oscilação na expectativa e na bolsa serão comuns. Para ele, o mercado reage muito mais rápido à movimentação política que a economia porque tenta precificar ganhos e perdas. Assim, ""o timing de como vai acontecer a votação da reforma, as mudanças que ocorrerão ou não, tudo isso vai ditar o rumo nos próximos meses principalmente em relação ao mercado financeiro e na confiança e projeções do empresariado"".,""No fim das contas, a grande questão para 2019 seja talvez não econômica, mas sim política. Da reforma da previdência depende um crescimento mais forte ou não no futuro"", avalia.,Economista-chefe da Porto Seguro Investimentos, José Penna concorda, destacando que ""embora haja convicção de que a reforma será aprovada, duas questões permanecem: o prazo e o nível de economia fiscal após a tramitação, já que há expectativa de diluição da economia originalmente pretendida"" pela equipe do ministro da Economia, Paulo Guedes.,""O próprio presidente deixou aberta a possibilidade de se rediscutir a idade mínima para aposentadoria de mulheres e há um aparente consenso no Congresso contra as mudanças no Benefício de Prestação Continuada (BPC)"", menciona, em referência ao pagamento concedido a idosos de baixa-renda que atualmente é de um salário mínimo e pelo texto seria fixado em R$400 reais até que se complete 70 anos de idade.,Penna também ressalta a agenda de desaceleração mundial. Para ele, a instalação de tensões comerciais entre China e Estados Unidos produziu efeitos-cascata mundiais, impactando sobretudo a Europa. ""Há questões específicas, como a decisão do governo chinês em desacelerar a economia nacional desde 2016 e que produziu uma queda nos indicadores globais de forma defasada. O Brexit e indicadores de produtividade na Europa também contam"".,O economista destaca que o mercado vai estar de olho nos resultados das negociações entre Planalto e Congresso. Ao final da viagem para Israel nesta quarta, Bolsonaro falou à imprensa sobre ""jogar pesado na questão da Previdência"". Ele deve receber líderes partidários ainda nesta semana, na tentativa de reparar o relacionamento estremecido com parlamentares.",economia,"
Mercado confirma fim da lua de mel e pessimismo com bolsonarismo
","Pela primeira vez no ano, economistas de instituições financeiras reduziram a estimativa de alta do PIB para – abaixo da marca de 2%. A queda na previsão de crescimento acompanha uma tendência observada nos últimos boletins Focus, realizados pelo Banco Central semanalmente e poucos acreditam no sucesso da administração de Jair Bolsonaro",04/04/2019 06:00:00
247 -,https://www.brasil247.com/pt/247/economia/388919/Cai-posi%C3%A7%C3%A3o-do-Brasil-no-com%C3%A9rcio-mundial.htm,"
, ""O Brasil continua a perder espaço entre os maiores exportadores do mundo"", informa de Genebra o jornalista Jamil Chade. ""Dados da Organização Mundial do Comércio (OMC) revelam que, mesmo com um aumento de vendas, o Brasil caiu do 26º para o 27º lugar entre os maiores exportadores do mundo em 2018. Entre os importadores, o País passou da 29ª para a 28ª posição, destaca.,""No total, o Brasil exportou US$ 240 bilhões e viu um aumento de 35% de suas vendas para a China. Em grande parte, essa venda foi composta pela soja, substituindo o produto americano. Mas, ainda assim, o Brasil caiu no ranking e foi superado pelo Vietnã, além de Malásia, Arábia Saudita e outras economias"".,""Em termos de participação no mercado internacional, o Brasil manteve uma fatia de 1,2%, a mesma taxa estagnada desde 2016. Hoje, Polônia, Austrália ou Tailândia já exportam mais que o Brasil ao mundo. O País, que chegou a ser o 22º maior exportador do mundo, previa estar entre os 20 primeiros no ranking internacional, que nunca ocorreu. Nessa classificação da OMC, a líder é a China, com US$ 2,4 trilhões em vendas em 2018. Os americanos aparecem com US$ 1,6 trilhão"".,Na avaliação do diretor-geral da OMC, Roberto Azevedo, os resultados mostram que o Brasil precisa ter uma ""maior participação e maior integração na economia mundial"".",economia,"
Cai posição do Brasil no comércio mundial
","""O Brasil continua a perder espaço entre os maiores exportadores do mundo"", informa de Genebra o jornalista Jamil Chade. ""Dados da Organização Mundial do Comércio (OMC) revelam que, mesmo com um aumento de vendas, o Brasil caiu do 26º para o 27º lugar entre os maiores exportadores do mundo em 2018. Entre os importadores, o País passou da 29ª para a 28ª posição, destaca",02/04/2019 08:45:00
,https://www.brasil247.com/pt/247/economia/389115/Paulo-Guedes-fracassa-na-C%C3%A2mara-Ibovespa-desaba-e-d%C3%B3lar-sobe.htm,"
, - O nervosismo no mercado depois do bate-boca entre o ministro da Economia, Paulo Guedes, e deputados da oposição na CCJC (Comissão de Constituição e Justiça e de Cidadania) fez com que o Ibovespa perdesse 2 mil pontos em duas horas. Com a baixa, o principal índice de ações da B3 se descola das bolsas mundiais, que sobem em meio a dados positivos da China e cenário mais favorável para um acordo entre os chineses e os Estados Unidos na guerra comercial.,Às 16h29, o Ibovespa caía 0,79% a 94.629 pontos. Já o dólar comercial sobe 0,44% a R$ 3,8727 na compra e a R$ 3,8737 na venda, enquanto o contrato futuro de dólar para maio tem valorização de 0,4% a R$ 3,876. No caso dos juros futuros, o DI para janeiro de 2021 avança quatro pontos-base, para 7,06%, ao passo que o DI para janeiro de 2023 avança nove pontos-base, para 8,21%.,Segundo o analista da Eleven Financial Research, Carlos Daltoso, o mercado tem seguido ruídos de Brasília de maneira exagerada e os traders não estão gostando das falas de Guedes ao debater a reforma da Previdência. ""O cenário-base com o qual o mercado trabalha é o de aprovação da reforma, mas os investidores querem saber quanto do R$ 1 trilhão anunciado pelo ministro em economia será desidratado no Congresso"", afirma. ""A volatilidade nesse momento será acentuada, mas é preciso saber distinguir a realidade dos ruídos"", acrescenta.,Na CCJ, Paulo Guedes elogiou o regime de capitalização e se exaltou quando deputados da oposição disseram que o Brasil ficaria igual ao Chile. Para Guedes, o sistema previdenciário atual é insustentável, com a proporção entre contribuintes e aposentados se reduzindo drasticamente por conta do envelhecimento da população.,Na semana passada, Guedes desmarcou sua participação em audiência pública na comissão. A decisão seguiu sugestão de aliados, que alertavam para os riscos de ataques de deputados até mesmo da base aliada. A alegação formal foi que o debate seria mais produtivo após a designação do relator da PEC (Proposta de Emenda à Constituição) da reforma previdenciária na comissão.,Os principais mercados sobem nesta quarta-feira, refletindo os avanços no acordo comercial entre EUA e China. Segundo o Financial Times, autoridades dos dois países já teriam resolvido a maior parte das questões pendentes, mas seguem negociando sobre como implementar e impor tal acordo. A publicação ressalta, porém, que os 10% de questões restantes para fechar o acordo é que são os mais complicados, pois exigiriam maiores compensações de ambos os lados.,Além disso, a China também puxou o otimismo dos investidores após o PMI (Índice Gerentes de Compras, na sigla em inglês) de serviços subir de 51,1 pontos em fevereiro para 54,4 pontos em março, reforçando a recuperação mostrada no PMI da indústria na segunda-feira.,Entre os indicadores, nos EUA, às 9h15 saiu o relatório de emprego ADP, registrando um aumento de 129 mil empregos no país em março, abaixo das expectativas dos economistas, que esperavam um incremento de 170 mil. Foi ainda o pior número de aberturas de vagas desde setembro de 2017. O dado funciona como uma espécie de prévia para o relatório de emprego dos EUA que sai na sexta-feira.,Já na Europa, foi registrada alta de 0,4% em fevereiro das vendas no varejo ante janeiro, enquanto o PMI composto da região recuou a 51,6 pontos em março ante 51,9 em fevereiro. Nas maiores economias do bloco, o PMI da Alemanha atingiu 51,4 pontos, o menor desde junho de 2013.,As preocupações no velho continente ainda recaem sobre um acordo para saída do Reino Unido da União Europeia, enquanto o Parlamento Britânico não chega a um acordo. Entre as maiores economias do bloco já há apreensão em relação aos impactos do Brexit, como na Alemanha, com especialistas já alertando sobre a possibilidade de que uma recessão acometa o País no quarto trimestre deste ano.,Por fim, entre as commodities, o preço futuro dos contratos de minério de ferro disparou 5,2% na bolsa de Dalian.,O petróleo tipo WTI tem queda de 0,38% a US$ 62,34 ao mesmo tempo em que o contrato do tipo Brent para junho cai 0,16% a US$ 69,26. A commodity tinha alta pela manhã, mas virou após a divulgação dos estoques de petróleo, que aumentaram em 7,2 milhões de barris na semana passada, de acordo com a EIA (Administração de Informação de Energia, na sigla em inglês). Analistas esperavam uma queda de 100 mil barris.,Enquanto deve seguir se beneficiando com a valorização do preço do minério de ferro, a Vale enfrenta dificuldades para encaminhar a órgãos técnicos projetos de descaracterização de oito estruturas a montante, como a que se rompeu em Brumadinho no início do ano. Ao menos seis empresas recusaram o convite da empresa para auditar barragens, que precisa encaminhar os pareceres à Agência Nacional de Mineração (ANM) e à Secretaria de Meio Ambiente de Minas Gerais.,A Petrobras já contaria com três grupos interessados na compra da Transportadora Associada de Gás (TAG), segundo o Estado de S. Paulo. Entre os competidores estaria a Engie, o fundo Mubadala e um consórcio capitaneado pela Itaúsa. A expectativa é de que o resultado possa sair até o final desta semana.,Uma ação do Ministério Público Estadual e da Defensoria Publica de Alagoas pede o bloqueio de R$ 6,7 bilhões da Braskem, por conta do afundamento do solo em bairros próximos à uma área de mineração de sal-gema em Maceió. Segundo o jornal Valor Econômico, o pedido do bloqueio foi antecipado pelas negociações em curso entre Odebrecht, controladora da petroquímica, e a holandesa LyondellBasell para a venda da Braskem.,A Rumo obteve vitória no Tribunal de Contas da União (TCU) em relação à análise técnica sobre a renovação antecipada de contrato da Malha Paulista e sem maiores obstáculos à assinatura de um termo aditivo, informou o Valor Econômico. A concessão cruza o interior de São Paulo e chega ao Porto de Santos. A expectativa é de que a renovação possa destravar mais de R$ 7 bilhões em investimentos em troca de mais 30 anos de concessão.",economia,"
Paulo Guedes fracassa na Câmara, Ibovespa desaba e dólar sobe
","Pressionado por parlamentares na Comissão de Constituição e Justiça (CCJ), sem conseguir fazer sustentação para justificar a reforma da Previdência do governo Bolsonaro, almejada pelo mercado financeiro, o ministro Paulo Guedes fez a Ibovespa cair 2 mil pontos nesta quarta-feira 3; irritado com as intervenções, o ministro se exaltou e bateu boca com deputados; o dólar também subiu 0,44% a R$ 3,8727 na compra e a R$ 3,8737 na venda",03/04/2019 17:35:00
Por Wellton Máximo – Repórter da Agência Brasil,https://www.brasil247.com/pt/247/economia/389218/Capta%C3%A7%C3%A3o-l%C3%ADquida-da-poupan%C3%A7a-cai-53-em-mar%C3%A7o.htm,"
,Depois de ter registrado retirada líquida - mais saques que depósitos - nos dois primeiros meses do ano, a caderneta de poupança voltou a atrair o interesse dos brasileiros em março. No mês passado, a captação líquida - depósitos menos retiradas - somou R$ 1,85 bilhão, informou nesta quinta-feira (4) o Banco Central. O valor representa queda de 53,4% em relação a março do ano passado, quando os depósitos tinham superado os saques em R$ 3,98 bilhões.,Mesmo com o recuo, a captação líquida atingiu o segundo melhor nível para meses de março desde 2013. Naquele mês, os depósitos tinham excedido as retiradas em R$ 5,96 bilhões. Em março de 2014, 2015 e 2016, a poupança tinha registrado saques líquidos – com os correntistas retirando mais do que depositando.,Apesar do desempenho positivo em março, as retiradas continuam maiores que os depósitos em 2018. No primeiro trimestre, a caderneta de poupança registrou saques líquidos de R$ 13,4 bilhões, contra saques líquidos de R$ 1,93 bilhão no mesmo período do ano passado.,Até 2014, os brasileiros depositavam mais do que retiravam da poupança. Naquele ano, as captações líquidas chegaram a R$ 24 bilhões. Com o início da recessão econômica, em 2015, os investidores passaram a retirar dinheiro da caderneta para cobrirem dívidas, num cenário de queda da renda e de aumento de desemprego.,Em 2015, R$ 53,57 bilhões foram sacados da poupança, a maior retirada líquida da história. Em 2016, os saques superaram os depósitos em R$ 40,7 bilhões. A tendência inverteu-se em 2017, quando as captações excederam as retiradas em R$ 17,12 bilhões.,Com rendimento de 70% da Taxa Selic (juros básicos da economia), a poupança está se torando menos atrativa porque os juros básicos estão no menor nível da história, em 6,5% ao ano. Nos últimos meses, o investimento não tem conseguido garantir rendimentos acima da inflação.,Nos 12 meses terminados em março, a poupança rendeu 4,16%. O Índice de Preços ao Consumidor Amplo (IPCA)-15, que funciona como uma prévia da inflação oficial, acumula 4,18% no mesmo período. No dia 10 (quarta-feira), o Instituto Brasileiro de Geografia e Estatística (IBGE) divulga o IPCA cheio de março.",economia,"
Captação líquida da poupança cai 53% em março
","Depois de ter registrado retirada líquida - mais saques que depósitos - nos dois primeiros meses do ano, a caderneta de poupança voltou a atrair o interesse dos brasileiros em março; no mês passado, a captação líquida - depósitos menos retiradas - somou R$ 1,85 bilhão, informou o Banco Central; o valor representa queda de 53,4% em relação a março do ano passado, quando os depósitos tinham superado os saques em R$ 3,98 bilhões",04/04/2019 16:18:00
Por Vitor Abdala – Repórter da Agência Brasil,https://www.brasil247.com/pt/247/economia/389184/Endividamento-de-fam%C3%ADlias-brasileiras-atinge-maior-patamar-desde-2015.htm,"
,O percentual de famílias brasileiras com dívidas (em atraso ou não) chegou a 62,4% em março deste ano. O índice é superior aos 61,5% de fevereiro deste ano e aos 61,2% de março do ano passado. Esse também é o maior patamar de endividamento das famílias desde setembro de 2015, segundo dados da Pesquisa de Endividamento e Inadimplência do Consumidor, divulgada hoje (4) pela Confederação Nacional do Comércio de Bens, Serviços e Turismo (CNC).,Já as famílias inadimplentes, ou seja, aquelas que têm dívidas ou contas em atraso, ficou em 23,4% em março deste ano, acima dos 23,1% do mês anterior. Na comparação com março do ano passado (25,2%), no entanto, o indicador teve uma queda de 1,8 ponto percentual.,O percentual de famílias que declararam não ter condições de pagar suas contas ou dívidas em atraso aumentou de 9,2% em fevereiro para 9,4% em março deste ano. No entanto, continuou abaixo do patamar de março do ano passado (10%).,Segundo a economista da CNC Marianne Hanson, além da recuperação gradual das concessões de crédito e do consumo das famílias, há um fator sazonal que influi nos resultados: a incidência dos gastos extras de início de ano, ocasionando uma demanda maior por empréstimos.,O cartão de crédito foi apontado como o principal motivo das dívidas por 78% das famílias endividadas, seguido por carnês, para 14,4%, e, em terceiro, por financiamento de carro, para 10%.",economia,"
Endividamento de famílias brasileiras atinge maior patamar desde 2015
","O percentual de famílias brasileiras com dívidas (em atraso ou não) chegou a 62,4% em março deste ano; o índice é superior aos 61,5% de fevereiro deste ano e aos 61,2% de março do ano passado; esse também é o maior patamar de endividamento das famílias desde setembro de 2015, segundo dados da Pesquisa de Endividamento e Inadimplência do Consumidor, divulgada pela Confederação Nacional do Comércio de Bens, Serviços e Turismo ",04/04/2019 11:45:00
